% Model:              1D_grating.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 05:09
% Table:              Table 4 - Global Evaluation 1
% lambda0 (µm)                                    Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)
11.786                                            0.98028                                           0.97636                                           0.95485                                           0.87065                                           0.87087                                           0.85407
11.791                                            0.98036                                           0.97654                                           0.95627                                           0.85445                                           0.87111                                           0.85369
11.796                                            0.98044                                           0.97671                                           0.95758                                           0.83499                                           0.87103                                           0.85333
11.801                                            0.98051                                           0.97688                                           0.95880                                           0.81130                                           0.87061                                           0.85298
11.806                                            0.98058                                           0.97703                                           0.95992                                           0.78244                                           0.86980                                           0.85265
11.811                                            0.98064                                           0.97718                                           0.96096                                           0.74725                                           0.86858                                           0.85234
11.816                                            0.98070                                           0.97732                                           0.96193                                           0.70403                                           0.86690                                           0.85204
11.821                                            0.98076                                           0.97746                                           0.96283                                           0.65178                                           0.86475                                           0.85176
11.826                                            0.98082                                           0.97759                                           0.96367                                           0.58959                                           0.86210                                           0.85151
11.831                                            0.98087                                           0.97771                                           0.96445                                           0.51806                                           0.85894                                           0.85127
11.836                                            0.98092                                           0.97783                                           0.96518                                           0.44155                                           0.85530                                           0.85106
11.841                                            0.98097                                           0.97794                                           0.96586                                           0.36832                                           0.85120                                           0.85086
11.846                                            0.98101                                           0.97804                                           0.96651                                           0.31208                                           0.84677                                           0.85068
11.851                                            0.98106                                           0.97815                                           0.96711                                           0.28687                                           0.84216                                           0.85051
11.856                                            0.98109                                           0.97824                                           0.96767                                           0.29959                                           0.83763                                           0.85036
11.861                                            0.98113                                           0.97833                                           0.96820                                           0.34590                                           0.83356                                           0.85022
11.866                                            0.98116                                           0.97842                                           0.96870                                           0.41284                                           0.83041                                           0.85009
11.871                                            0.98119                                           0.97850                                           0.96916                                           0.48691                                           0.82869                                           0.84996
11.876                                            0.98122                                           0.97857                                           0.96960                                           0.55786                                           0.82892                                           0.84984
11.881                                            0.98125                                           0.97864                                           0.97002                                           0.62108                                           0.83144                                           0.84971
11.886                                            0.98127                                           0.97871                                           0.97041                                           0.67501                                           0.83636                                           0.84957
11.891                                            0.98130                                           0.97878                                           0.97078                                           0.71985                                           0.84345                                           0.84943
11.896                                            0.98131                                           0.97884                                           0.97113                                           0.75701                                           0.85215                                           0.84927
11.901                                            0.98133                                           0.97889                                           0.97146                                           0.78757                                           0.86177                                           0.84910
11.906                                            0.98135                                           0.97895                                           0.97177                                           0.81274                                           0.87160                                           0.84890
11.911                                            0.98136                                           0.97900                                           0.97207                                           0.83371                                           0.88098                                           0.84867
11.916                                            0.98137                                           0.97904                                           0.97235                                           0.85114                                           0.88948                                           0.84840
11.921                                            0.98138                                           0.97909                                           0.97261                                           0.86578                                           0.89677                                           0.84810
11.926                                            0.98138                                           0.97913                                           0.97286                                           0.87818                                           0.90268                                           0.84775
11.931                                            0.98139                                           0.97916                                           0.97310                                           0.88870                                           0.90708                                           0.84736
11.936                                            0.98139                                           0.97920                                           0.97332                                           0.89773                                           0.90983                                           0.84691
11.941                                            0.98139                                           0.97923                                           0.97354                                           0.90551                                           0.91069                                           0.84641
11.946                                            0.98139                                           0.97926                                           0.97374                                           0.91224                                           0.90923                                           0.84584
11.951                                            0.98139                                           0.97928                                           0.97393                                           0.91813                                           0.90449                                           0.84521
11.956                                            0.98138                                           0.97931                                           0.97412                                           0.92329                                           0.89451                                           0.84451
11.961                                            0.98138                                           0.97933                                           0.97429                                           0.92782                                           0.87491                                           0.84375
11.966                                            0.98137                                           0.97935                                           0.97445                                           0.93185                                           0.83738                                           0.84291
11.971                                            0.98135                                           0.97936                                           0.97461                                           0.93542                                           0.79764                                           0.84200
11.976                                            0.98134                                           0.97938                                           0.97476                                           0.93861                                           0.88274                                           0.84102
11.981                                            0.98133                                           0.97939                                           0.97490                                           0.94148                                           0.95937                                           0.83996
11.986                                            0.98131                                           0.97940                                           0.97503                                           0.94405                                           0.97643                                           0.83884
11.991                                            0.98129                                           0.97940                                           0.97516                                           0.94637                                           0.97814                                           0.83765
11.996                                            0.98127                                           0.97941                                           0.97528                                           0.94847                                           0.97644                                           0.83640
12.001                                            0.98125                                           0.97941                                           0.97539                                           0.95038                                           0.97394                                           0.83511
12.006                                            0.98123                                           0.97941                                           0.97550                                           0.95212                                           0.97124                                           0.83375
12.011                                            0.98121                                           0.97941                                           0.97560                                           0.95371                                           0.96843                                           0.83237
12.016                                            0.98118                                           0.97941                                           0.97570                                           0.95516                                           0.96551                                           0.83097
12.021                                            0.98115                                           0.97940                                           0.97579                                           0.95650                                           0.96235                                           0.82954
12.026                                            0.98112                                           0.97940                                           0.97588                                           0.95773                                           0.95891                                           0.82812
12.031                                            0.98109                                           0.97939                                           0.97596                                           0.95886                                           0.95507                                           0.82672
12.036                                            0.98106                                           0.97938                                           0.97604                                           0.95990                                           0.95069                                           0.82536
12.041                                            0.98103                                           0.97937                                           0.97611                                           0.96087                                           0.94564                                           0.82405
12.046                                            0.98099                                           0.97935                                           0.97618                                           0.96177                                           0.93974                                           0.82282
12.051                                            0.98095                                           0.97934                                           0.97624                                           0.96260                                           0.93272                                           0.82168
12.056                                            0.98091                                           0.97932                                           0.97630                                           0.96337                                           0.92433                                           0.82066
12.061                                            0.98087                                           0.97930                                           0.97636                                           0.96410                                           0.91413                                           0.81977
12.066                                            0.98083                                           0.97928                                           0.97641                                           0.96477                                           0.90161                                           0.81902
12.071                                            0.98079                                           0.97926                                           0.97646                                           0.96540                                           0.88613                                           0.81844
12.076                                            0.98074                                           0.97923                                           0.97651                                           0.96598                                           0.86657                                           0.81802
12.081                                            0.98070                                           0.97921                                           0.97655                                           0.96653                                           0.84177                                           0.81777
12.086                                            0.98065                                           0.97918                                           0.97659                                           0.96705                                           0.81010                                           0.81770
12.091                                            0.98060                                           0.97915                                           0.97663                                           0.96753                                           0.76884                                           0.81778
12.096                                            0.98055                                           0.97912                                           0.97666                                           0.96798                                           0.71571                                           0.81803
12.101                                            0.98050                                           0.97909                                           0.97669                                           0.96841                                           0.64797                                           0.81843
12.106                                            0.98044                                           0.97905                                           0.97671                                           0.96880                                           0.56373                                           0.81892
12.111                                            0.98038                                           0.97902                                           0.97674                                           0.96918                                           0.46771                                           0.81952
12.116                                            0.98033                                           0.97898                                           0.97676                                           0.96953                                           0.37338                                           0.82017
12.121                                            0.98027                                           0.97894                                           0.97677                                           0.96986                                           0.30578                                           0.82084
12.126                                            0.98021                                           0.97890                                           0.97679                                           0.97018                                           0.29061                                           0.82152
12.131                                            0.98014                                           0.97886                                           0.97680                                           0.97047                                           0.33201                                           0.82213
12.136                                            0.98008                                           0.97881                                           0.97681                                           0.97075                                           0.41058                                           0.82265
12.141                                            0.98001                                           0.97877                                           0.97682                                           0.97101                                           0.49987                                           0.82304
12.146                                            0.97994                                           0.97872                                           0.97682                                           0.97125                                           0.58328                                           0.82324
12.151                                            0.97987                                           0.97866                                           0.97682                                           0.97148                                           0.65368                                           0.82322
12.156                                            0.97981                                           0.97862                                           0.97682                                           0.97170                                           0.71029                                           0.82295
12.161                                            0.97973                                           0.97856                                           0.97681                                           0.97190                                           0.75543                                           0.82234
12.166                                            0.97965                                           0.97850                                           0.97680                                           0.97209                                           0.79103                                           0.82139
12.171                                            0.97958                                           0.97845                                           0.97680                                           0.97228                                           0.81920                                           0.82007
12.176                                            0.97949                                           0.97839                                           0.97678                                           0.97244                                           0.84191                                           0.81827
12.181                                            0.97941                                           0.97832                                           0.97676                                           0.97259                                           0.86019                                           0.81601
12.186                                            0.97933                                           0.97826                                           0.97674                                           0.97274                                           0.87508                                           0.81324
12.191                                            0.97924                                           0.97819                                           0.97671                                           0.97287                                           0.88743                                           0.80989
12.196                                            0.97915                                           0.97812                                           0.97669                                           0.97300                                           0.89768                                           0.80598
12.201                                            0.97907                                           0.97806                                           0.97666                                           0.97311                                           0.90628                                           0.80149
12.206                                            0.97897                                           0.97798                                           0.97662                                           0.97321                                           0.91359                                           0.79637
12.211                                            0.97887                                           0.97790                                           0.97659                                           0.97331                                           0.91981                                           0.79070
12.216                                            0.97878                                           0.97783                                           0.97655                                           0.97340                                           0.92517                                           0.78453
12.221                                            0.97867                                           0.97774                                           0.97650                                           0.97348                                           0.92980                                           0.77793
12.226                                            0.97857                                           0.97766                                           0.97646                                           0.97355                                           0.93383                                           0.77114
12.231                                            0.97846                                           0.97757                                           0.97641                                           0.97361                                           0.93736                                           0.76435
12.236                                            0.97835                                           0.97747                                           0.97635                                           0.97366                                           0.94046                                           0.75788
12.241                                            0.97824                                           0.97739                                           0.97630                                           0.97371                                           0.94320                                           0.75220
12.246                                            0.97812                                           0.97729                                           0.97623                                           0.97374                                           0.94563                                           0.74768
12.251                                            0.97800                                           0.97718                                           0.97616                                           0.97377                                           0.94778                                           0.74480
12.256                                            0.97788                                           0.97708                                           0.97610                                           0.97380                                           0.94972                                           0.74402
12.261                                            0.97775                                           0.97697                                           0.97602                                           0.97380                                           0.95143                                           0.74549
12.266                                            0.97762                                           0.97685                                           0.97594                                           0.97380                                           0.95298                                           0.74932
12.271                                            0.97749                                           0.97675                                           0.97586                                           0.97381                                           0.95438                                           0.75534
12.276                                            0.97734                                           0.97662                                           0.97576                                           0.97378                                           0.95562                                           0.76304
12.281                                            0.97720                                           0.97649                                           0.97566                                           0.97376                                           0.95674                                           0.77192
12.286                                            0.97706                                           0.97637                                           0.97558                                           0.97375                                           0.95777                                           0.78135
12.291                                            0.97689                                           0.97622                                           0.97546                                           0.97369                                           0.95867                                           0.79059
12.296                                            0.97673                                           0.97608                                           0.97534                                           0.97364                                           0.95949                                           0.79917
12.301                                            0.97659                                           0.97595                                           0.97524                                           0.97360                                           0.96026                                           0.80659
12.306                                            0.97640                                           0.97578                                           0.97510                                           0.97352                                           0.96090                                           0.81230
12.311                                            0.97622                                           0.97562                                           0.97496                                           0.97344                                           0.96150                                           0.81607
12.316                                            0.97606                                           0.97547                                           0.97484                                           0.97337                                           0.96206                                           0.81751
12.321                                            0.97585                                           0.97528                                           0.97467                                           0.97325                                           0.96251                                           0.81594
12.326                                            0.97565                                           0.97510                                           0.97452                                           0.97315                                           0.96294                                           0.81091
12.331                                            0.97546                                           0.97493                                           0.97437                                           0.97305                                           0.96333                                           0.80137
12.336                                            0.97523                                           0.97471                                           0.97417                                           0.97289                                           0.96363                                           0.78547
12.341                                            0.97501                                           0.97451                                           0.97399                                           0.97276                                           0.96392                                           0.76093
12.346                                            0.97480                                           0.97431                                           0.97382                                           0.97262                                           0.96417                                           0.72362
12.351                                            0.97453                                           0.97406                                           0.97358                                           0.97243                                           0.96433                                           0.66806
12.356                                            0.97429                                           0.97383                                           0.97338                                           0.97225                                           0.96450                                           0.59644
12.361                                            0.97404                                           0.97360                                           0.97316                                           0.97208                                           0.96463                                           0.55519
12.366                                            0.97374                                           0.97331                                           0.97289                                           0.97183                                           0.96468                                           0.65422
12.371                                            0.97346                                           0.97305                                           0.97265                                           0.97162                                           0.96474                                           0.82604
12.376                                            0.97317                                           0.97277                                           0.97239                                           0.97139                                           0.96476                                           0.91903
12.381                                            0.97283                                           0.97244                                           0.97207                                           0.97109                                           0.96469                                           0.94249
12.386                                            0.97251                                           0.97214                                           0.97179                                           0.97083                                           0.96464                                           0.93019
12.391                                            0.97217                                           0.97181                                           0.97147                                           0.97054                                           0.96455                                           0.89378
12.396                                            0.97177                                           0.97141                                           0.97109                                           0.97017                                           0.96437                                           0.83034
12.401                                            0.97141                                           0.97107                                           0.97075                                           0.96985                                           0.96422                                           0.72977
12.406                                            0.97100                                           0.97067                                           0.97037                                           0.96948                                           0.96401                                           0.57569
12.411                                            0.97052                                           0.97020                                           0.96991                                           0.96903                                           0.96370                                           0.37054
12.416                                            0.97010                                           0.96979                                           0.96950                                           0.96864                                           0.96345                                           0.19879
12.421                                            0.96961                                           0.96931                                           0.96903                                           0.96818                                           0.96311                                           0.17953
12.426                                            0.96903                                           0.96874                                           0.96847                                           0.96761                                           0.96264                                           0.30193
12.431                                            0.96853                                           0.96825                                           0.96798                                           0.96713                                           0.96227                                           0.45350
12.436                                            0.96793                                           0.96765                                           0.96739                                           0.96654                                           0.96177                                           0.57740
12.441                                            0.96722                                           0.96695                                           0.96668                                           0.96582                                           0.96113                                           0.66710
12.446                                            0.96661                                           0.96634                                           0.96608                                           0.96522                                           0.96061                                           0.72995
12.451                                            0.96586                                           0.96559                                           0.96533                                           0.96446                                           0.95990                                           0.77454
12.456                                            0.96496                                           0.96469                                           0.96442                                           0.96354                                           0.95902                                           0.80673
12.461                                            0.96421                                           0.96395                                           0.96367                                           0.96278                                           0.95832                                           0.83072
12.466                                            0.96322                                           0.96296                                           0.96268                                           0.96177                                           0.95733                                           0.84844
12.471                                            0.96204                                           0.96177                                           0.96148                                           0.96053                                           0.95610                                           0.86171
12.476                                            0.96108                                           0.96082                                           0.96052                                           0.95955                                           0.95515                                           0.87246
12.481                                            0.95975                                           0.95947                                           0.95916                                           0.95816                                           0.95375                                           0.88019
12.486                                            0.95810                                           0.95782                                           0.95747                                           0.95643                                           0.95198                                           0.88577
12.491                                            0.95685                                           0.95656                                           0.95620                                           0.95513                                           0.95068                                           0.89087
12.496                                            0.95490                                           0.95460                                           0.95420                                           0.95307                                           0.94857                                           0.89364
12.501                                            0.95244                                           0.95211                                           0.95167                                           0.95046                                           0.94586                                           0.89487
12.506                                            0.95072                                           0.95037                                           0.94991                                           0.94866                                           0.94403                                           0.89691
12.511                                            0.94762                                           0.94724                                           0.94672                                           0.94537                                           0.94060                                           0.89600
12.516                                            0.94351                                           0.94308                                           0.94248                                           0.94100                                           0.93603                                           0.89329
