% Model:              1D_grating.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 27 2026, 05:09
% Table:              Table 4 - Global Evaluation 1
% lambda0 (µm)                                    Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)                          Reflectance, order 0 (1)
10.286                                            0.28156                                           0.26812                                           0.25186                                           0.23123                                           0.20449                                           0.16985
10.291                                            0.31758                                           0.30172                                           0.28282                                           0.25852                                           0.22668                                           0.18543
10.296                                            0.35778                                           0.33906                                           0.31693                                           0.28805                                           0.24979                                           0.20057
10.301                                            0.39856                                           0.37636                                           0.35007                                           0.31520                                           0.26865                                           0.21024
10.306                                            0.44068                                           0.41423                                           0.38254                                           0.33986                                           0.28290                                           0.21533
10.311                                            0.47723                                           0.44546                                           0.40668                                           0.35398                                           0.28524                                           0.21271
10.316                                            0.50910                                           0.47057                                           0.42260                                           0.35770                                           0.27797                                           0.20879
10.321                                            0.53297                                           0.48588                                           0.42647                                           0.34873                                           0.26408                                           0.20940
10.326                                            0.54856                                           0.49102                                           0.41870                                           0.33098                                           0.25201                                           0.21790
10.331                                            0.55584                                           0.48665                                           0.40248                                           0.31309                                           0.25074                                           0.23626
10.336                                            0.55313                                           0.47420                                           0.38375                                           0.30396                                           0.26265                                           0.26243
10.341                                            0.55225                                           0.46113                                           0.37402                                           0.31156                                           0.28810                                           0.29582
10.346                                            0.54785                                           0.45540                                           0.38063                                           0.33627                                           0.32474                                           0.33576
10.351                                            0.55113                                           0.46547                                           0.40529                                           0.37389                                           0.36819                                           0.37915
10.356                                            0.56762                                           0.49308                                           0.44538                                           0.42150                                           0.41733                                           0.42601
10.361                                            0.59449                                           0.53011                                           0.49076                                           0.47053                                           0.46586                                           0.47160
10.366                                            0.62734                                           0.57121                                           0.53693                                           0.51776                                           0.51114                                           0.51335
10.371                                            0.65965                                           0.61009                                           0.57954                                           0.56101                                           0.55274                                           0.55202
10.376                                            0.68734                                           0.64263                                           0.61448                                           0.59605                                           0.58612                                           0.58281
10.381                                            0.71186                                           0.67138                                           0.64548                                           0.62748                                           0.61649                                           0.61128
10.386                                            0.73094                                           0.69360                                           0.66929                                           0.65159                                           0.63977                                           0.63305
10.391                                            0.74791                                           0.71339                                           0.69063                                           0.67348                                           0.66121                                           0.65344
10.396                                            0.76116                                           0.72875                                           0.70708                                           0.69035                                           0.67776                                           0.66917
10.401                                            0.77325                                           0.74276                                           0.72214                                           0.70596                                           0.69325                                           0.68412
10.406                                            0.78290                                           0.75388                                           0.73398                                           0.71822                                           0.70543                                           0.69589
10.411                                            0.79183                                           0.76415                                           0.74490                                           0.72961                                           0.71684                                           0.70705
10.416                                            0.79925                                           0.77264                                           0.75385                                           0.73892                                           0.72620                                           0.71622
10.421                                            0.80610                                           0.78044                                           0.76205                                           0.74749                                           0.73485                                           0.72478
10.426                                            0.81195                                           0.78707                                           0.76895                                           0.75470                                           0.74214                                           0.73202
10.431                                            0.81731                                           0.79312                                           0.77523                                           0.76126                                           0.74881                                           0.73868
10.436                                            0.82197                                           0.79834                                           0.78061                                           0.76688                                           0.75453                                           0.74442
10.441                                            0.82618                                           0.80303                                           0.78543                                           0.77191                                           0.75967                                           0.74961
10.446                                            0.82985                                           0.80710                                           0.78959                                           0.77625                                           0.76411                                           0.75412
10.451                                            0.83307                                           0.81064                                           0.79322                                           0.78003                                           0.76800                                           0.75809
10.456                                            0.83583                                           0.81366                                           0.79631                                           0.78325                                           0.77132                                           0.76151
10.461                                            0.83812                                           0.81613                                           0.79887                                           0.78590                                           0.77407                                           0.76437
10.466                                            0.83996                                           0.81810                                           0.80092                                           0.78804                                           0.77631                                           0.76672
10.471                                            0.84126                                           0.81946                                           0.80240                                           0.78958                                           0.77794                                           0.76846
10.476                                            0.84204                                           0.82026                                           0.80333                                           0.79055                                           0.77900                                           0.76964
10.481                                            0.84214                                           0.82033                                           0.80356                                           0.79081                                           0.77934                                           0.77011
10.486                                            0.84154                                           0.81966                                           0.80309                                           0.79036                                           0.77898                                           0.76987
10.491                                            0.84002                                           0.81806                                           0.80171                                           0.78899                                           0.77768                                           0.76870
10.496                                            0.83746                                           0.81543                                           0.79936                                           0.78663                                           0.77542                                           0.76657
10.501                                            0.83366                                           0.81157                                           0.79582                                           0.78311                                           0.77199                                           0.76328
10.506                                            0.82844                                           0.80636                                           0.79099                                           0.77832                                           0.76733                                           0.75878
10.511                                            0.82164                                           0.79966                                           0.78472                                           0.77212                                           0.76130                                           0.75296
10.516                                            0.81301                                           0.79122                                           0.77676                                           0.76431                                           0.75372                                           0.74564
10.521                                            0.80228                                           0.78075                                           0.76682                                           0.75459                                           0.74430                                           0.73655
