X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
24.6094	-137.101738126	
24.7266	-138.308969725	
24.8438	-138.160898508	
24.9609	-137.333589189	
25.0781	-136.040906266	
25.1953	-138.547070665	
25.3125	-137.803298948	
25.4297	-137.469838933	
25.5469	-138.976664933	
25.6641	-138.190161498	
25.7812	-145.344017968	
25.8984	-190.984097079	
26.0156	-240.615812843	
26.1328	-302.613552484	
26.2500	-357.346197533	
26.3672	-432.982186529	
26.4844	-519.777621862	
26.6016	-616.873484563	
26.7188	-645.721609355	
26.8359	-653.123595637	
26.9531	-655.497725325	
27.0703	-655.946892852	
27.1875	-658.359490777	
27.3047	-656.630406548	
27.4219	-651.949781501	
27.5391	-650.358824402	
27.6562	-649.870365012	
27.7734	-648.906527369	
27.8906	-648.809920741	
28.0078	-647.311742826	
28.1250	-648.035759602	
28.2422	-648.706967338	
28.3594	-647.174826913	
28.4766	-651.766694015	
28.5938	-655.041629639	
28.7109	-654.341062015	
28.8281	-657.019449288	
28.9453	-654.500458107	
29.0625	-655.592975391	
29.1797	-655.220647438	
29.2969	-652.891720350	
29.4141	-652.614933155	
29.5312	-654.345034805	
29.6484	-654.288882808	
29.7656	-655.423792670	
29.8828	-655.031794561	
