X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
13.2812	-58.898696878	
13.3789	-34.283071252	
13.4766	-13.624477823	
13.5742	14.815479120	
13.6719	42.733801453	
13.7695	59.908706094	
13.8672	77.430478916	
13.9648	97.960332142	
14.0625	114.410444829	
14.1602	131.990888978	
14.2578	164.110073502	
14.3555	185.381433470	
14.4531	206.570672961	
14.5508	208.228901024	
14.6484	213.140383936	
14.7461	215.688686557	
14.8437	209.061927285	
14.9414	210.542663682	
15.0391	208.705926531	
15.1367	206.887454524	
15.2344	208.606897469	
15.3320	210.812716513	
15.4297	203.942260480	
15.5273	194.625970743	
15.6250	179.322056456	
15.7227	151.563009093	
15.8203	127.500497595	
15.9180	106.878155876	
16.0156	80.202590122	
16.1133	60.615911184	
16.2109	45.248529153	
16.3086	17.411188755	
16.4062	-14.091316999	
16.5039	-33.515414345	
16.6016	-56.613615826	
16.6992	-83.291252761	
16.7969	-104.459283850	
16.8945	-121.653168253	
16.9922	-138.086759946	
17.0898	-150.239076784	
17.1875	-160.568428003	
17.2852	-167.476637654	
17.3828	-172.761199473	
17.4805	-175.714254312	
17.5781	-176.706507095	
17.6758	-176.940090197	
17.7734	-176.463561289	
17.8711	-176.231031945	
17.9688	-174.206846928	
18.0664	-170.225626738	
18.1641	-165.662089990	
18.2617	-162.164750791	
18.3594	-155.390974060	
18.4570	-145.239829124	
18.5547	-135.962807026	
18.6523	-127.014169945	
18.7500	-116.732940357	
18.8477	-105.664444268	
18.9453	-92.086119850	
19.0430	-70.739143635	
19.1406	-44.350290996	
19.2383	-21.551829262	
19.3359	1.443733733	
19.4336	19.447437489	
19.5312	38.037987751	
19.6289	59.447402177	
19.7266	81.009139190	
19.8242	108.997615182	
19.9219	130.515215466	
20.0195	145.542148763	
20.1172	170.997510789	
20.2148	192.147095051	
20.3125	204.023605780	
20.4102	206.147013653	
20.5078	206.695936971	
20.6055	210.540677286	
20.7031	207.509341525	
20.8008	207.740393184	
20.8984	209.922084795	
20.9961	206.401562913	
21.0938	207.054360158	
21.1914	205.882726212	
21.2891	203.083459532	
21.3867	190.714468174	
21.4844	170.100580746	
21.5820	145.915978624	
21.6797	125.360181140	
21.7773	101.881863584	
21.8750	75.453143753	
21.9727	59.226548960	
22.0703	37.690295942	
22.1680	7.122619196	
22.2656	-20.790373784	
22.3633	-40.997837515	
22.4609	-63.665245623	
22.5586	-88.868656449	
22.6562	-111.594899399	
22.7539	-129.978464873	
22.8516	-142.848536498	
22.9492	-154.225662664	
23.0469	-162.668459398	
23.1445	-168.130173742	
23.2422	-171.590171136	
23.3398	-173.452586076	
23.4375	-174.242081216	
23.5352	-174.184851236	
23.6328	-174.003774370	
23.7305	-173.536753511	
23.8281	-172.147463960	
23.9258	-167.538349135	
24.0234	-161.812347350	
24.1211	-155.275726810	
24.2188	-151.027033679	
24.3164	-145.781049106	
24.4141	-139.391409688	
24.5117	-130.851073689	
24.6094	-119.354352007	
24.7070	-106.305856079	
24.8047	-91.545287458	
24.9023	-67.696816084	
