X Unit:	MicroMeter
Y Unit:	NanoMeter

X	Y
28.4766	-599.360795865	
28.5938	-598.238240411	
28.7109	-596.972567616	
28.8281	-595.389652995	
28.9453	-595.213009181	
29.0625	-591.466328953	
29.1797	-592.351873562	
29.2969	-593.116102725	
29.4141	-593.944913953	
29.5312	-596.105433499	
29.6484	-594.052469978	
29.7656	-593.502141649	
29.8828	-596.300003318	
