x(um)
y(nm)

X	Y
11.7187	-515.904345286	
11.8359	-513.777013072	
11.9531	-510.976196034	
12.0703	-509.540565340	
12.1875	-512.492396850	
12.3047	-515.093992998	
12.4219	-511.111222450	
12.5391	-511.739650019	
12.6562	-512.227818718	
12.7734	-515.134156937	
12.8906	-515.964760765	
13.0078	-512.100204947	
13.1250	-511.025032284	
13.2422	-512.750628208	
13.3594	-516.450264787	
13.4766	-522.510174737	
13.5937	-524.656450377	
13.7109	-520.843879972	
13.8281	-517.695734491	
13.9453	-515.418986609	
14.0625	-514.270559571	
14.1797	-510.832206617	
14.2969	-507.194632772	
14.4141	-501.543484167	
14.5312	-494.990076165	
14.6484	-482.797777070	
14.7656	-468.996352629	
14.8828	-450.939004094	
15.0000	-419.548923456	
15.1172	-374.299279984	
15.2344	-328.410840929	
15.3516	-283.162723590	
15.4688	-242.055464776	
15.5859	-196.591242189	
15.7031	-150.473180710	
15.8203	-105.966339981	
15.9375	-69.951428984	
16.0547	-92.144942580	
16.1719	-126.502273515	
16.2891	-168.451049217	
16.4062	-214.256253474	
16.5234	-252.801014209	
16.6406	-299.935334781	
16.7578	-352.197413084	
16.8750	-396.259386104	
16.9922	-441.406778679	
17.1094	-463.468263620	
17.2266	-477.981205083	
17.3438	-488.399120453	
17.4609	-498.570335246	
17.5781	-505.217394507	
17.6953	-510.780269653	
17.8125	-514.050554206	
17.9297	-517.251799419	
18.0469	-516.324540514	
18.1641	-518.232642541	
18.2812	-516.667896168	
18.3984	-517.195259832	
18.5156	-517.660851456	
18.6328	-516.648371358	
18.7500	-518.338890453	
18.8672	-520.159106611	
18.9844	-519.830430901	
19.1016	-519.426417525	
19.2188	-516.373376763	
19.3359	-517.936427434	
19.4531	-515.871400197	
19.5703	-518.846729307	
19.6875	-518.658264020	
19.8047	-514.686927356	
19.9219	-517.851303138	
20.0391	-516.375508504	
20.1562	-515.947900631	
20.2734	-518.894208994	
20.3906	-517.837301475	
20.5078	-516.221054176	
20.6250	-516.433162410	
20.7422	-518.618051632	
20.8594	-521.567848299	
20.9766	-520.368211028	
21.0938	-517.723495573	
21.2109	-518.319656335	
21.3281	-518.927493224	
21.4453	-521.222360904	
21.5625	-524.087517762	
21.6797	-523.989070085	
21.7969	-524.576364742	
21.9141	-522.792436630	
22.0312	-516.751227863	
22.1484	-515.145445475	
22.2656	-506.426963753	
22.3828	-497.752618761	
22.5000	-485.536628271	
22.6172	-471.795813104	
22.7344	-457.851852704	
22.8516	-420.492364213	
22.9688	-372.776005663	
23.0859	-329.191687983	
23.2031	-283.204825475	
23.3203	-240.717845721	
23.4375	-197.802979513	
23.5547	-155.017301657	
23.6719	-107.406900327	
23.7891	-70.809139837	
23.9062	-95.156571849	
24.0234	-137.672196874	
24.1406	-177.342105066	
24.2578	-215.279876764	
24.3750	-261.536719429	
24.4922	-308.118119669	
24.6094	-351.742867756	
24.7266	-410.151530661	
24.8438	-449.636219626	
24.9609	-464.863730376	
25.0781	-475.229466538	
25.1953	-489.564068484	
25.3125	-499.634267820	
25.4297	-505.886034464	
25.5469	-510.195688121	
25.6641	-517.611046233	
25.7812	-522.711091330	
25.8984	-526.430688756	
26.0156	-525.845574289	
26.1328	-524.400689901	
26.2500	-521.944100593	
26.3672	-519.011648546	
26.4844	-517.683137839	
26.6016	-521.872784165	
26.7188	-524.990697683	
26.8359	-522.746943338	
26.9531	-519.801313256	
27.0703	-526.912607578	
27.1875	-528.745226593	
27.3047	-525.852163307	
27.4219	-525.448537520	
27.5391	-523.697796741	
27.6562	-523.081965823	
27.7734	-525.955262055	
27.8906	-526.158504184	
28.0078	-521.508401793	
28.1250	-519.519245158	
28.2422	-518.373046758	
28.3594	-520.375042289	
28.4766	-518.314133188	
28.5938	-522.001706050	
28.7109	-524.116877650	
28.8281	-523.941154360	
28.9453	-521.821767726	
29.0625	-522.514050630	
29.1797	-525.323055490	
29.2969	-529.259896709	
29.4141	-530.660692816	
29.5312	-531.424437493	
29.6484	-532.197193621	
29.7656	-528.025279505	
29.8828	-523.370186901	
