hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
64,3,0.0001,64,0.0,3.0,0.10822747,65.8293,0.019354708,12.528891
64,3,0.0001,64,0.0,4.0,0.10967126,67.864555,0.019024372,12.617886
64,3,0.0001,64,0.0001,1.0,0.10015794,57.71084,0.020564454,10.572747
64,3,0.0001,64,0.0001,2.0,0.10552053,61.203423,0.019712571,11.072714
64,3,0.0001,64,0.0001,3.0,0.10796647,63.826424,0.019388426,13.240566
64,3,0.0001,64,0.0001,4.0,0.10783174,66.4562,0.017585525,13.041917
64,3,0.0001,64,0.001,1.0,0.09976194,56.407703,0.019650934,11.137399
64,3,0.0001,64,0.001,2.0,0.10540861,60.65987,0.020035505,11.007479
64,3,0.0001,64,0.001,3.0,0.11019437,65.80878,0.018778637,11.888368
64,3,0.0001,64,0.001,4.0,0.110093035,67.52983,0.01771378,12.323417
64,3,0.0001,64,0.01,1.0,0.099250324,58.56701,0.017823497,13.411711
64,3,0.0001,64,0.01,2.0,0.10346389,60.69756,0.017628102,11.405335
64,3,0.0001,64,0.01,3.0,0.109914735,64.906265,0.014696864,11.7884655
64,3,0.0001,64,0.01,4.0,0.1124866,65.967155,0.012672471,13.281457
64,3,0.0005,32,0.0,1.0,0.031680506,31.164051,0.007112006,5.3118286
64,3,0.0005,32,0.0,2.0,0.032373544,30.804281,0.0047843643,4.748855
64,3,0.0005,32,0.0,3.0,0.03341961,31.540411,0.00842768,4.0014753
64,3,0.0005,32,0.0,4.0,0.0322267,31.499897,0.013043072,4.0473356
64,3,0.0005,32,0.0001,1.0,0.033877254,31.050058,0.007439645,6.1023383
64,3,0.0005,32,0.0001,2.0,0.034481764,31.906452,0.004413316,5.151951
64,3,0.0005,32,0.0001,3.0,0.038909853,32.151573,0.009492361,5.5786157
64,3,0.0005,32,0.0001,4.0,0.037530176,30.836063,0.011448287,3.6894107
64,3,0.0005,32,0.001,1.0,0.033256978,31.330114,0.007235228,4.957441
64,3,0.0005,32,0.001,2.0,0.035007253,32.698357,0.005111419,4.5374894
